13600;Institut für Strafrechtswissenschaften                                                                                                                                                                  
13610;Abteilung für Grundlagen der Strafrechtswissenschaften und Wirtschaftsrecht                                                                                                                             
13620;Abteilung für Praxis der Strafrechtswissenschaftenund Medizinstrafrecht                                                                                                                                 
13630;Abteilung für Strafrecht und Rechtspsychologie                                                                                                                                                          
19500;Institut für Umweltrecht                                                                                                                                                                                
19520;Abt.f. Allgem.Umweltrechtsdogmatiku.-technikrecht                                                                                                                                                       
19510;Abteilung für umweltrechtliche Grundlagenforschung                                                                                                                                                      
12100;Institut für Universitätsrecht                                                                                                                                                                          
10200;Institut für Unternehmensrecht                                                                                                                                                                          
14000;Institut für Verwaltungsrecht und Verwaltungslehre                                                                                                                                                      
14010;Abteilung für Rechtsschutz und Verwaltungskontrolle                                                                                                                                                     
14060;Abteilung für Technikrecht                                                                                                                                                                              
14040;Abteilung für Umweltverwaltungs- und Anlagenrecht                                                                                                                                                       
14050;Abteilung für Verwaltungslehre und Verwaltungsmanagement                                                                                                                                                
13800;Institut für Völkerrecht, Luftfahrtrecht und Internationale Beziehungen                                                                                                                                 
19000;Institut für Zivilrecht                                                                                                                                                                                 
19060;Abt. Europ. Privat- u. Versicherungsrecht                                                                                                                                                               
19040;Abteilung für Dogmengeschichte                                                                                                                                                                          
19070;Abteilung für Finanzmarktrecht                                                                                                                                                                          
19020;Abteilung für Grundlagenforschung                                                                                                                                                                       
19050;Abteilung für Umweltprivatrecht                                                                                                                                                                         
19030;Abteilung für Wirtschaftsprivatrecht                                                                                                                                                                    
19010;Abteilung für allgemeine Zivilrechtsdogmatik                                                                                                                                                            
14800;Institut für Öffentliches Wirtschaftsrecht                                                                                                                                                              
60000;Medizinische Fakultät
60000;Lehre Medizinische Fakultät                                                                                                                                                                             
60300;Uniklinik Augenheilkunde                                                                                                                                                                                
60500;Uniklinik Gyn., Geburtshilfe, Gyn. Endok                                                                                                                                                                
60400;Uniklinik Herz-, Gefäß-, Thoraxchirurgie                                                                                                                                                                
60900;Uniklinik Pathologie und Molekularpathologie                                                                                                                                                            
60800;Uniklinik Psychiatrie                                                                                                                                                                                   
60700;Universitätsklinik für Hals-, Nasen-, Ohrenheilkunde                                                                                                                                                    
60600;Universitätsklinik für Neurochirurgie                                                                                                                                                                   
65000;ZML - Zentrum für medizinische Lehre                                                                                                                                                                    
65006;KMA ZML - Zentrum für medizinische Lehre                                                                                                                                                                
63100;Zentrum für Medizinische Forschung                                                                                                                                                                      
30000;Technisch - Naturwissenschaftliche Fakultät
37200;Doktoratskolleg - W01214                                                                                                                                                                               
37400;Inst.f.Angewandte Physik                                                                                                                                                                                
32500;Inst.f.Finanzmathematik und Angewandte Zahlentheorie                                                                                                                                                    
37600;Institut Chemie der Polymere                                                                                                                                                                            
36800;Institut für Algebra                                                                                                                                                                                    
32400;Institut für Analysis                                                                                                                                                                                   
32430;Abteilung für Dynamische Systeme und Approximationstheorie                                                                                                                                              
32410;Abteilung für Funktionalanalysis                                                                                                                                                                        
34500;Institut für Analytische Chemie                                                                                                                                                                         
35600;Institut für Angewandte Geometrie                                                                                                                                                                       
